"TIME","GEO","UNIT","AGE","SEX","Value","Flag and Footnotes"
"2012","Belgium","Number","From 45 to 54 years","Total","8 641",""
"2012","Belgium","Number","From 55 to 64 years","Total","9 240",""
"2012","Bulgaria","Number","Total","Total",":",""
"2012","Bulgaria","Number","Less than 35 years","Total",":",""
"2012","Bulgaria","Number","From 35 to 44 years","Total",":",""
"2012","Bulgaria","Number","From 45 to 54 years","Total",":",""
"2012","Bulgaria","Number","From 55 to 64 years","Total",":",""
"2012","Czechia","Number","Total","Total","38 624",""
"2012","Czechia","Number","Less than 35 years","Total","7 430",""
"2012","Czechia","Number","From 35 to 44 years","Total","8 631",""
"2012","Czechia","Number","From 45 to 54 years","Total","8 656",""
"2012","Czechia","Number","From 55 to 64 years","Total","9 797",""
"2012","Denmark","Number","Total","Total","21 458",""
"2012","Denmark","Number","Less than 35 years","Total","4 208",""
"2012","Denmark","Number","From 35 to 44 years","Total","5 474",""
"2012","Denmark","Number","From 45 to 54 years","Total","4 696",""
"2012","Denmark","Number","From 55 to 64 years","Total","5 126",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Total","317 390",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Less than 35 years","Total","58 379",""
"2012","Germany (until 1990 former territory of the FRG)","Number","From 35 to 44 years","Total","37 274",""
"2012","Germany (until 1990 former territory of the FRG)","Number","From 45 to 54 years","Total","88 334",""
"2012","Germany (until 1990 former territory of the FRG)","Number","From 55 to 64 years","Total","120 468",""
"2012","Estonia","Number","Total","Total","4 343",""
"2012","Estonia","Number","Less than 35 years","Total",":",""
"2012","Estonia","Number","From 35 to 44 years","Total",":",""
"2012","Estonia","Number","From 45 to 54 years","Total",":",""
"2012","Estonia","Number","From 55 to 64 years","Total",":",""
"2012","Ireland","Number","Total","Total","18 167",""
"2012","Ireland","Number","Less than 35 years","Total","5 502",""
"2012","Ireland","Number","From 35 to 44 years","Total","5 039",""
"2012","Ireland","Number","From 45 to 54 years","Total","3 917",""
